"","TeamB","Bgmean","BgSD","Bgskew","Bogmean","BogSD","Bogskew","Bwins","Bties","Year"
"66","BneTA","1.05263157894737","0.911267993910214","0.739830225899814","1.10526315789474","1.04853002087607","0.352858669405336","0.315789473684211","0.263157894736842","2011"
"67","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2011"
"68","HapAc","1.33333333333333","1.32842232831014","0.837343407519607","1.44444444444444","1.04161764590537","0.581410672167892","0.277777777777778","0.222222222222222","2011"
"69","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2011"
"70","HapBS","1","0.942809041582063","0.753626964159347","1.78947368421053","1.51213415661519","0.428833968971015","0.263157894736842","0.210526315789474","2011"
"71","HapHa","0.611111111111111","0.849836585598797","1.30185354664379","1.11111111111111","0.900254139862666","0.25757141114278","0.166666666666667","0.277777777777778","2011"
"72","HapKS","1.5","1.04318516770401","0.146813008749189","1","1.32842232831014","1.56409428951776","0.555555555555556","0.277777777777778","2011"
"73","HapPT","0.947368421052632","0.911267993910214","0.512101234490028","1.89473684210526","1.37010692373119","0.914571927529001","0.157894736842105","0.368421052631579","2011"
"74","HapRa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2011"
"75","HapRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2011"
"76","HapRL","1","0.816496580927726","0","2.42105263157895","1.64370142847322","0.985489843230825","0.105263157894737","0.157894736842105","2011"
"77","HapRS","0.777777777777778","1.0032626514091","1.07857174513334","1.5","1.42457423980145","0.864738406432723","0.277777777777778","0.333333333333333","2011"
"78","HapTA","1.27777777777778","1.17851130197758","0.710668504232525","1.05555555555556","0.802365782965103","0.556338736003546","0.388888888888889","0.333333333333333","2011"
"79","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2011"
"80","MacHa","1.21052631578947","1.39757517660733","1.03378273767215","1.21052631578947","1.1342617456312","0.908761235210063","0.315789473684211","0.263157894736842","2011"
"81","MacNa","1.36842105263158","0.955133865881839","0.356390458754182","1.36842105263158","1.57093483547534","2.34800900533244","0.421052631578947","0.210526315789474","2011"
"82","MacPT","0.894736842105263","0.875261030404661","0.657518847298922","1.31578947368421","1.33552451531005","0.773013278772058","0.263157894736842","0.368421052631579","2011"
"83","MacTA","1.21052631578947","1.22832077643609","0.814224476424112","1.52631578947368","1.21876171459357","0.203913739528852","0.263157894736842","0.210526315789474","2011"
"84","MemAs","0.888888888888889","0.963381842865745","0.576852721975155","1.38888888888889","1.03690086251908","0.728421022498824","0.222222222222222","0.333333333333333","2011"
"85","BeiYe","1.25","1.06458129484475","0.155404925177381","1.9375","1.43614066163451","0.354584316250669","0.25","0.3125","2012"
"86","BneSa","1","1.06066017177982","0.591566457463255","1.35294117647059","1.36661884182223","1.32777736653176","0.235294117647059","0.470588235294118","2012"
"87","BneTA","1.22222222222222","1.30859401674224","1.39815004337217","1.22222222222222","0.942809041582063","-0.0180050337802133","0.333333333333333","0.166666666666667","2012"
"88","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"89","HapAc","0.882352941176471","0.927520413601263","0.655055089385616","1.35294117647059","1.22173935797433","0.514985654836091","0.235294117647059","0.352941176470588","2012"
"90","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"91","HapBS","0.875","0.885061203156784","0.760630773140768","1.625","1.5","0.71875","0.1875","0.3125","2012"
"92","HapHa","0.705882352941177","0.848874687627165","1.116054860397","1.70588235294118","1.40377641926844","1.51515804780709","0.0588235294117647","0.411764705882353","2012"
"93","HapKS","1.5","1.29478592370913","0.614249524082384","1.33333333333333","1.08465228909328","0.928783737919876","0.388888888888889","0.333333333333333","2012"
"94","HapPT","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"95","HapRa","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"96","HapRG","1.29411764705882","1.10480235123488","0.232746865076182","1.70588235294118","0.919558717697852","0.103659718186742","0.235294117647059","0.117647058823529","2012"
"97","HapRL","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"98","HapRS","0.722222222222222","1.12749360533236","1.44943747945603","1.66666666666667","1.4950900031928","1.34097164054707","0.222222222222222","0.111111111111111","2012"
"99","HapTA","1.11111111111111","0.900254139862666","0.25757141114278","1.33333333333333","1.32842232831014","0.410772237651128","0.444444444444444","0.111111111111111","2012"
"100","MacAN","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"101","MacHa","1.35294117647059","1.22173935797433","0.514985654836091","1.05882352941176","0.966345450349804","0.284201628474134","0.411764705882353","0.294117647058824","2012"
"102","MacNa","1","1.36930639376292","0.962273355930645","1.29411764705882","1.31171194829281","0.580615712786762","0.235294117647059","0.411764705882353","2012"
"103","MacPT","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2012"
"104","MacTA","1.77777777777778","1.35279908318905","0.110816024671665","1.11111111111111","1.02261998512983","0.418164580204086","0.555555555555556","0.222222222222222","2012"
"105","MemAs","0.8125","0.834166250416147","0.966567597838011","1.25","0.930949336251263","0","0.25","0.25","2012"
"106","BeiYe","0.666666666666667","1.04653623694457","0.982306476718732","1","0.925820099772551","0.504057609876167","0.2","0.266666666666667","2013"
"107","BneSa","1.11111111111111","1.07860961093922","1.12375782565738","1.33333333333333","1.37198868114007","0.587988059998145","0.444444444444444","0.166666666666667","2013"
"108","BneTA","1","0.790569415042095","0","1.41176470588235","0.870260272089029","-0.281644062262854","0.176470588235294","0.235294117647059","2013"
"109","HacRG","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"110","HapAc","0.5625","0.892094912738176","1.40922006368081","1.1875","1.22304265393049","1.71748830564591","0.125","0.375","2013"
"111","HapAs","NaN",NA,"NaN","NaN",NA,"NaN","NaN","NaN","2013"
"112","HapBS","1.66666666666667","1.37198868114007","0.186435238535997","1.05555555555556","0.998364675929488","0.567939491694931","0.555555555555556","0.166666666666667","2013"
